UNITCD,PLT_CN,PHYSCLCD
6,22343889010478,21
6,22343901010478,12
6,22343906010478,23
5,22343916010478,22
5,22343935010478,22
5,22343970010478,22
5,22343975010478,22
5,22343990010478,22
5,22344000010478,22
5,38856982010478,22
5,22345699010478,22
5,22345723010478,22
5,22345728010478,22
5,22345761010478,22
5,22345766010478,22
5,22345771010478,22
5,22345783010478,22
5,22345802010478,22
4,22345819010478,24
4,22345824010478,22
4,22345836010478,22
4,22345850010478,22
2,22340231010478,22
2,22340243010478,22
2,22340273010478,22
5,22340307010478,22
5,22340319010478,22
5,22340329010478,22
5,22340334010478,22
5,22340353010478,22
5,22340365010478,22
5,22340370010478,22
5,22340375010478,22
1,22340380010478,21
5,38874998010478,22
5,38875295010478,22
4,38876096010478,22
4,38876254010478,22
3,22346259010478,21
3,22346264010478,21
3,22346302010478,31
3,22346312010478,22
3,22346317010478,22
3,22346322010478,22
3,22346327010478,21
3,22346332010478,22
3,22346337010478,22
3,22346342010478,22
3,22346349010478,22
3,22346354010478,22
3,22346359010478,22
3,22346371010478,24
3,22346386010478,22
3,22346415010478,22
3,22346420010478,22
6,22346439010478,22
6,22346454010478,24
2,22345295010478,21
3,22345324010478,22
3,22345334010478,25
3,22345351010478,22
6,22345380010478,34
6,22345436010478,22
4,43043259010478,22
4,43043406010478,22
4,43043560010478,22
4,43043718010478,21
4,43043798010478,22
4,43043977010478,22
4,43044138010478,22
4,43044306010478,22
4,43044419010478,22
4,43044614010478,22
4,43044738010478,22
4,43044865010478,22
4,43045117010478,22
4,43045548010478,22
4,43046064010478,21
4,43046342010478,21
4,43046567010478,25
4,43046831010478,22
4,43047499010478,22
4,43048438010478,22
4,43048798010478,22
4,43048860010478,22
4,43049081010478,22
4,43049220010478,22
4,43049491010478,22
4,43049913010478,22
4,43049951010478,24
4,43050458010478,22
4,43050516010478,22
4,43050559010478,21
4,43051116010478,22
4,43051369010478,22
4,38923636010478,22
4,38923907010478,22
4,38923993010478,22
5,38924447010478,22
5,38924519010478,22
5,38924607010478,22
5,38924754010478,22
5,38924877010478,22
5,38924976010478,22
3,38925262010478,22
3,38925703010478,22
3,38925777010478,22
3,38925861010478,24
3,38925928010478,22
3,38926007010478,25
3,38926104010478,22
3,38926253010478,24
3,38926776010478,22
3,38926891010478,22
3,38927336010478,22
3,38927420010478,22
3,38927499010478,22
3,38927589010478,22
3,38927666010478,22
5,38927747010478,22
5,38928101010478,22
5,38928359010478,24
3,38928596010478,22
4,335445685489998,22
4,335445686489998,25
6,43499905010478,11
6,43500128010478,23
5,43532259010478,22
5,43532550010478,22
5,43532632010478,21
5,43532827010478,22
5,43532899010478,21
5,43533362010478,22
5,43533587010478,11
5,43533922010478,22
5,43534460010478,11
5,43535254010478,22
5,43535372010478,22
5,43535537010478,22
5,43535721010478,22
5,43535873010478,22
5,43536045010478,22
5,43536182010478,22
5,43536586010478,22
5,43536710010478,22
5,43536794010478,22
5,43537022010478,22
1,43510813010478,22
1,43512124010478,22
1,43512189010478,22
3,22336931010478,25
3,22336950010478,22
3,22336955010478,22
3,22336960010478,22
3,22336977010478,22
3,22337008010478,22
3,22337013010478,22
3,22337032010478,22
3,22337037010478,24
3,22337042010478,22
6,22337052010478,23
6,22337069010478,12
6,22337079010478,12
6,22337131010478,31
2,22337159010478,22
5,22350237010478,22
5,22350249010478,21
5,22350263010478,22
5,22350268010478,22
5,22350280010478,22
5,22350285010478,11
5,22350290010478,22
4,22332446010478,25
4,22332465010478,22
4,22332470010478,22
4,22332499010478,22
4,22332504010478,22
4,22332509010478,25
4,22332514010478,21
4,22332533010478,25
4,22332543010478,22
4,22332555010478,25
3,22332573010478,22
3,22332618010478,22
3,22332629010478,22
3,22332662010478,22
3,22332687010478,24
3,22332692010478,22
6,22332736010478,23
6,22332748010478,22
1,38857184010478,25
1,38857292010478,22
1,38857486010478,32
1,38857650010478,21
1,38857781010478,29
1,38858309010478,22
1,38858539010478,21
1,38858899010478,13
1,38859004010478,22
1,38859165010478,21
1,38859367010478,32
1,38859727010478,24
2,38860247010478,24
2,38861530010478,22
2,38861866010478,22
2,38862089010478,25
2,38862947010478,22
5,38863078010478,22
5,38863316010478,22
5,38863511010478,11
5,38863720010478,11
5,38863995010478,22
5,38864350010478,22
5,38864479010478,22
5,38864679010478,22
5,38865086010478,22
4,38865210010478,22
4,38865468010478,22
3,38865836010478,22
1,22340439010478,22
1,22340451010478,21
1,22340461010478,22
1,22340480010478,22
1,22340490010478,22
1,22340495010478,22
1,22340505010478,22
1,22340517010478,21
1,22340522010478,22
3,22340565010478,22
3,22340577010478,22
3,22340589010478,22
3,22340600010478,19
3,22340612010478,22
3,22340617010478,32
3,22340622010478,22
3,22340627010478,22
1,29103951010478,22
5,38839065010478,22
5,38839289010478,22
5,38839468010478,22
5,38839578010478,11
5,38839763010478,22
5,38839951010478,22
5,38840146010478,22
5,38840558010478,22
5,38840659010478,21
5,38841276010478,22
5,38841475010478,22
5,38841605010478,22
6,22346476010478,23
2,22346512010478,21
2,22346522010478,22
2,22346553010478,22
2,22346579010478,22
2,22346584010478,22
2,22346601010478,22
1,22341044010478,25
1,22341051010478,25
1,22341063010478,33
1,22341069010478,21
1,22341125010478,22
1,22341135010478,39
3,22341188010478,24
3,22341193010478,22
4,22345491010478,25
4,22345515010478,22
4,22345527010478,22
4,22345532010478,22
5,38847190010478,22
5,38847343010478,22
5,38847538010478,22
5,38847712010478,22
3,38848078010478,32
3,38848176010478,22
3,38848325010478,22
3,38848587010478,22
3,38848840010478,22
3,38849027010478,24
3,38850130010478,22
3,38850373010478,22
3,38850736010478,22
4,38851696010478,22
4,38851816010478,22
4,38852012010478,22
4,38852633010478,22
4,38852931010478,22
4,38853061010478,24
4,38853379010478,21
4,38853614010478,22
4,38853873010478,25
4,38854012010478,22
4,38854145010478,22
4,22347420010478,22
4,22347430010478,22
4,22347466010478,22
4,22347471010478,22
4,22347476010478,21
4,22347481010478,22
4,22347509010478,22
4,22347514010478,22
4,22347524010478,22
4,22347529010478,24
4,22347546010478,22
4,22347565010478,22
4,22347570010478,22
3,22347599010478,22
5,22347864010478,22
5,22347874010478,22
5,22347879010478,22
5,22347903010478,22
5,22347908010478,23
5,22347913010478,22
5,22347944010478,22
5,22347949010478,22
5,22347955010478,22
3,22349313010478,25
3,22349318010478,22
4,43051563010478,24
4,43051694010478,22
4,43051909010478,22
6,43052484010478,22
6,43052623010478,23
6,43053281010478,23
6,43053920010478,22
6,43054034010478,22
6,43054608010478,24
4,335445692489998,22
4,335445693489998,22
4,335445698489998,22
3,335445639489998,22
3,335445641489998,21
3,335445646489998,22
3,335445648489998,22
4,335445653489998,22
1,335445658489998,22
1,335445659489998,31
4,335445661489998,22
4,335445666489998,22
4,335445667489998,22
4,335445671489998,25
5,335445676489998,21
4,335445677489998,22
4,335445679489998,22
4,335445681489998,25
5,43537161010478,22
5,43537276010478,22
3,43537439010478,22
3,43537688010478,22
3,43537804010478,22
3,43537848010478,22
3,43538148010478,21
6,43500940010478,11
6,43501360010478,11
6,43501660010478,11
6,43501788010478,11
6,43501950010478,11
6,43502174010478,22
6,43502277010478,23
6,43502419010478,11
6,43502593010478,22
6,43502757010478,25
6,43502877010478,22
6,43503012010478,22
6,43503094010478,22
6,43503454010478,23
1,43504004010478,21
1,43504112010478,31
1,43504436010478,21
1,43504567010478,31
2,22337164010478,21
2,22337176010478,22
2,22337186010478,25
2,22337198010478,22
2,22337203010478,22
2,22337215010478,22
2,22337220010478,25
2,22337232010478,22
2,22337237010478,22
2,22337242010478,25
2,22337269010478,22
2,22337274010478,25
4,22337298010478,22
3,22331657010478,22
3,22331664010478,24
3,22331669010478,22
3,22331675010478,21
3,22331680010478,22
3,22331685010478,21
3,22331712010478,21
3,22331736010478,21
3,22331741010478,22
3,22331751010478,25
6,22331770010478,22
6,22331780010478,22
6,22331821010478,22
6,22331847010478,22
6,22332787010478,23
6,22332792010478,23
5,22342215010478,22
5,22342220010478,22
5,22342244010478,32
5,22342249010478,24
5,22342254010478,22
5,22338777010478,21
5,22338783010478,22
3,22338798010478,22
3,22338817010478,22
3,22338822010478,22
3,22338827010478,22
3,22338832010478,22
3,22338837010478,22
3,22338847010478,22
3,22338859010478,22
3,22338864010478,22
3,22338869010478,22
3,22338881010478,25
4,22338905010478,22
4,22338926010478,22
4,22338931010478,22
4,22338941010478,22
4,22338946010478,22
4,22338963010478,22
4,22338982010478,24
4,22339017010478,22
4,22339029010478,22
3,38866672010478,31
